usage	id	name	e_Type	damage_Type	dispel_School	drain_Percentage	boost
0	3235	Dark Power	NULL	NULL	NULL	NULL	NULL
0	3803	Shadow Shot	NULL	NULL	NULL	NULL	NULL
0	3835	Leviathan's Curse	NULL	128	NULL	NULL	-150
0	3875	Acidic Curse	NULL	NULL	NULL	NULL	NULL
0	4117	Dark Shield	NULL	NULL	NULL	NULL	NULL
0	4118	Dark Shield	NULL	NULL	NULL	NULL	NULL
0	4119	Dark Shield	NULL	NULL	NULL	NULL	NULL
0	4120	Dark Shield	NULL	NULL	NULL	NULL	NULL
0	4121	Dark Shield	NULL	NULL	NULL	NULL	NULL
0	4122	Dark Shield	NULL	NULL	NULL	NULL	NULL
0	4123	Dark Shield	NULL	NULL	NULL	NULL	NULL
0	4129	Travel to the Prodigal Shadow Child's Lair	NULL	NULL	NULL	NULL	NULL
0	4130	Travel to the Prodigal Shadow Child's Sanctum	NULL	NULL	NULL	NULL	NULL
0	4149	Crossing the Threshold of Darkness	NULL	NULL	NULL	NULL	NULL
0	4188	Shadowed Flame	16	NULL	NULL	NULL	NULL
0	4194	Magical Void	NULL	NULL	NULL	NULL	NULL
0	4203	Dark Crypt Entrance	NULL	NULL	NULL	NULL	NULL
0	4204	Dark Crypt Entrance	NULL	NULL	NULL	NULL	NULL
0	4205	Dark Crypt Entrance	NULL	NULL	NULL	NULL	NULL
0	4317	Incantation of Mana Drain Self	NULL	512	NULL	NULL	-48
0	5332	Bael'zharon's Nether Streak	1024	NULL	NULL	NULL	NULL
0	5333	Bael'zharon's Nether Arc	1024	NULL	NULL	NULL	NULL
0	5334	Bael'zharons Curse of Destruction	NULL	NULL	NULL	NULL	NULL
0	5335	Bael'zharons Curse of Minor Destruction	NULL	NULL	NULL	NULL	NULL
0	5336	Bael'zharons Curse of Festering	NULL	NULL	NULL	NULL	NULL
0	5428	Major Void Magic Aptitude	NULL	NULL	NULL	NULL	NULL
0	5431	Novice Shadow's Void Magic Aptitude	NULL	NULL	NULL	NULL	NULL
0	5432	Apprentice Voidlock's Void Magic Aptitude	NULL	NULL	NULL	NULL	NULL
0	5433	Journeyman Voidlock's Void Magic Aptitude	NULL	NULL	NULL	NULL	NULL
0	5538	Darkened Heart	NULL	NULL	NULL	NULL	NULL
0	5544	Nether Blast I	1024	NULL	NULL	NULL	NULL
0	5545	Nether Blast II	1024	NULL	NULL	NULL	NULL
0	5738	Weave of Void Magic I	NULL	NULL	NULL	NULL	NULL
0	5739	Weave of Void Magic II	NULL	NULL	NULL	NULL	NULL
0	5740	Weave of Void Magic III	NULL	NULL	NULL	NULL	NULL
0	5741	Weave of Void Magic IV	NULL	NULL	NULL	NULL	NULL
0	5754	Shroud of Darkness (Magic)	1	NULL	NULL	NULL	NULL
0	5755	Shroud of Darkness (Melee)	1	NULL	NULL	NULL	NULL
0	5756	Shroud of Darkness (Missile)	1	NULL	NULL	NULL	NULL
0	6241	Paragon's Void Magic Mastery I	NULL	NULL	NULL	NULL	NULL
0	6242	Paragon's Void Magic Mastery II	NULL	NULL	NULL	NULL	NULL
0	6243	Paragon's Void Magic Mastery III	NULL	NULL	NULL	NULL	NULL
0	6244	Paragon's Void Magic Mastery IV	NULL	NULL	NULL	NULL	NULL
1	1213	Mana Drain Self I	NULL	512	NULL	NULL	-4
1	1214	Mana Drain Self II	NULL	512	NULL	NULL	-7
1	1215	Mana Drain Self III	NULL	512	NULL	NULL	-10
1	1216	Mana Drain Self IV	NULL	512	NULL	NULL	-16
1	1217	Mana Drain Self V	NULL	512	NULL	NULL	-23
1	1218	Mana Drain Self VI	NULL	512	NULL	NULL	-31
1	2079	Mana Drain Self VII	NULL	512	NULL	NULL	-40
1	2383	Dark Flame	16	NULL	NULL	NULL	NULL
1	2636	Karenua's Curse	NULL	NULL	NULL	NULL	NULL
1	2814	Priest's Curse	2	NULL	NULL	NULL	NULL
1	3003	Dark Wave	NULL	NULL	NULL	NULL	NULL
1	3783	Entry to the Accursed Mausoleum of Bitterness	NULL	NULL	NULL	NULL	NULL
1	3784	Entry to the Accursed Mausoleum of Bitterness	NULL	NULL	NULL	NULL	NULL
1	3785	Entry to the Accursed Mausoleum of Bitterness	NULL	NULL	NULL	NULL	NULL
1	3786	Entry to the Accursed Mausoleum of Bitterness	NULL	NULL	NULL	NULL	NULL
1	3787	Entry to the Accursed Mausoleum of Bitterness	NULL	NULL	NULL	NULL	NULL
1	3788	Entry to the Accursed Mausoleum of Bitterness	NULL	NULL	NULL	NULL	NULL
1	3804	Shadow Shot	NULL	NULL	NULL	NULL	NULL
1	3818	Curse of Raven Fury	128	NULL	NULL	0.5	NULL
1	3867	Embrace of the Chill Shadow	NULL	NULL	NULL	NULL	NULL
1	3876	Curse of the Blades	NULL	NULL	NULL	NULL	NULL
1	4016	Shadow's Heart	NULL	NULL	NULL	NULL	NULL
1	4125	Dark Nanners	2	NULL	NULL	NULL	NULL
1	4145	Crossing the Threshold of Darkness	NULL	NULL	NULL	NULL	NULL
1	4146	Crossing the Threshold of Darkness	NULL	NULL	NULL	NULL	NULL
1	4147	Crossing the Threshold of Darkness	NULL	NULL	NULL	NULL	NULL
1	4148	Crossing the Threshold of Darkness	NULL	NULL	NULL	NULL	NULL
