1	Strength Other I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	Strength Self I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3	Weakness Other I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4	Weakness Self I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5	Heal Other I	NULL	128	NULL	NULL	10	NULL	NULL	NULL
6	Heal Self I	NULL	128	NULL	NULL	10	NULL	NULL	NULL
7	Harm Other I	NULL	128	NULL	NULL	-4	NULL	NULL	NULL
8	Harm Self I	NULL	128	NULL	NULL	-4	NULL	NULL	NULL
9	Infuse Mana Other I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
15	Vulnerability Other I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
16	Vulnerability Self I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
17	Invulnerability Other I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
18	Invulnerability Self I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
19	Fire Protection Other I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
20	Fire Protection Self I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
21	Fire Vulnerability Other I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
22	Fire Vulnerability Self I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
23	Armor Other I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
24	Armor Self I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
25	Imperil Other I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
26	Imperil Self I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
27	Flame Bolt I	16	NULL	NULL	NULL	NULL	NULL	NULL	NULL
28	Frost Bolt I	8	NULL	NULL	NULL	NULL	NULL	NULL	NULL
35	Aura of Blood Drinker Self I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
36	Blood Loather I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
37	Blade Bane I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
38	Blade Lure I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
47	Primary Portal Tie	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
48	Primary Portal Recall	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
49	Aura of Swift Killer Self I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
50	Leaden Weapon I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
51	Impenetrability I	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
